Indicators,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Total Number of Stores of Convenience Store(unit),,24060,18588,17675,16832,14680,13277,13609,14202,15779
Total Number of Stores of Discount Store(unit),,448,540,410,377,408,432,948,701,859
Total Number of Stores of Supermarket(unit),,29881,33372,33301,33202,33835,31016,38554,32818,33224
Total Number of Stores of Hypermarket(unit),,6155,8452,8584,9481,9380,11947,2542,6322,2493
Total Number of Stores of Warehouse Club(unit),,98,97,128,108,107,351,265,272,179
Total Number of Stores of Department Store(unit),,6148,4987,4867,4689,4514,4377,4826,4239,5304
Total Number of Stores of Specialty Store(unit),,125362,118601,112959,108809,104054,89227,95680,84678,82704
Total Number of Stores of Gas Station(unit),,33321,35970,35710,34985,31073,25300,31845,31040,29345
Total Number of Stores of Franchised Store(unit),,31238,32413,21093,22854,26113,28939,31768,27641,24075
Total Number of Stores of Building Material Store(unit),,61,57,64,69,62,49,116,108,102
Total Number of Stores of Factory Outlets Center(unit),,711,612,306,309,232,14,74,66,410
Total Number of Stores of Other Store(unit),,11941,14725,10425,9685,10705,13241,7397,5745,10548
"Note:Total number of stores includes that from Hong Kong, Macao and Taiwan province and foreign countries.",,,,,,,,,,
Data Sources£ºNational Bureau of Statistics,,,,,,,,,,
